CoinName,Algorithm,ProofType,TotalCoinSupply,TotalCoinsMined,Class
Song Coin,Scrypt,PoW,210240000.0,32565300.0,1
BitZeny,Scrypt,PoW,250000000.0,75614500.0,1
Diggits,Scrypt,PoS,100000000.0,100000000.0,0
Expanse,Ethash,PoW,16906397.0,10495278.0,1
Paycon,X13,PoW/PoS,50000000.0,23042604.0,0
Siacoin,Blake2b,PoW,0.0,33098296530.0,1
Emercoin,SHA-256,PoW/PoS,1000000000.0,43059794.804778,0
EverGreenCoin,X15,PoW/PoS,26298000.0,13530556.4180753,0
MindCoin,X11,PoW,16000000.0,15867695.0,1
I0coin,SHA-256,PoW,21000000.0,20997476.865023103,1
Decred,BLAKE256,PoW/PoS,21000000.0,10365046.928166099,0
Revolution VR,Scrypt,PoW,210000000.0,210000000.0,1
HOdlcoin,1GB AES Pattern Search,PoW,81962100.0,11448949.0,1
EDRCoin,SHA-256,PoW/PoS,22000000.0,3669691.84494672,0
Hitcoin,X11,PoW/PoS,26550000000.0,10996318099.0,0
Gamecredits,Scrypt,PoW,84000000.0,69836100.0,1
DubaiCoin,SHA-256,PoW/PoS,10500000.0,5129014.0,0
CarpeDiemCoin,SHA-256,PoW,21626280000.0,21739971929.0,1
PWR Coin,NIST5,PoW/PoS,0.0,10069449031.9252,0
BillaryCoin,Scrypt,PoW/PoS,42000000.0,8998743.2411911,0
GPU Coin,Scrypt,PoS,221052632.0,40477042.0,0
Adzcoin,X11,PoW,84000000.0,45110324.0,1
SoilCoin,Dagger,PoW,30000000.0,5702048.0,1
YoCoin,Scrypt,PoW,168351300.0,636462.55983338,1
SibCoin,X11GOST,PoW,24000000.0,17263355.0,1
EuropeCoin,X11,PoW/PoS,384000000.0,10407269.788186802,0
ZeitCoin,Scrypt,PoS,99000000000.0,36971236046.8073,0
SwingCoin,SHA-256,PoW/PoS,40000000.0,4377081.60953993,0
SafeExchangeCoin,Scrypt,PoC,2147483647.0,2147483647.0,0
Nebuchadnezzar,PoS,PoS,20000000.0,20000000.0,0
Francs,Scrypt,PoW,20000000.0,6570807.65677618,1
BolivarCoin,X11,PoW,25000000.0,13654082.4987998,1
Ratecoin,X11,PoW/PoS,75000000.0,134554941.15118998,0
Revenu,SHA-256,PoW/PoS,222725000.0,1195525.0,0
Clockcoin,SHA-256,PoW/PoS,525000000.0,16662820.0,0
VIP Tokens,NIST5,PoW/PoS,90000000.0,83450403.0,0
BitSend,X11,PoW/PoS,139000000.0,24387724.5010828,0
Omni,Scrypt,PoW,616448.0,616448.0,1
Let it Ride,POS 3.0,PoS,33500000.0,38589808.6658096,0
PutinCoin,Scrypt,PoW/PoS,2000000000.0,813092338.575672,0
iBankCoin,Scrypt,PoW/PoS,44333333.0,4526324.0,0
Frankywillcoin,Scrypt,PoW/PoS,100000000.0,100000000.0,0
MudraCoin,X13,PoS,200000000.0,5000000.0,0
PizzaCoin,X11,PoW,25000000.0,1377917.0,1
Lutetium Coin,X11,PoS,657000000.0,657000000.0,0
Komodo,Equihash,dPoW/PoW,200000000.0,115898131.0,1
GoldBlocks,X11,PoW/PoS,50000000.0,15563873.0,0
CarterCoin,Scrypt,PoW/PoS,90000000.0,43165500.0,0
Karbo,CryptoNight,PoW,10000000.0,7822432.72439746,1
BitTokens,SHA-256,PoW/PoS,21000000.0,595429.0,0
ZayedCoin,SHA-256,PoW,9736000.0,6243840.0,1
MustangCoin,X11,PoW/PoS,3000000.0,657636.34549789,0
ZoneCoin,Scrypt,PoW/PoS,21000000.0,2581970.0,0
Circuits of Value,Multiple,PoW,1200000000.0,1000000000.0,1
RootCoin,Scrypt,PoW/PoS,0.0,1939889.0,0
DopeCoin,Scrypt,PoW,200000000.0,116845228.0,1
BitCurrency,Scrypt,PoS,0.0,169598616.0,0
DollarCoin,SHA-256,PoW,10638298.0,9106714.0,1
Swiscoin,Scrypt,PoW/PoW,3100000000.0,665200057.0,0
Shilling,Scrypt,PoW,30000000.0,11119200.0,1
BuzzCoin,SHA-256D,PoW/PoS,20000000000.0,19577787259.0,0
Opair,PoS,PoS,74000000.0,74033806.79496829,0
PesoBit,Scrypt,PoW/PoS,0.0,33522957.0,0
Halloween Coin,X11,PoW/PoS,1500000000.0,264678458.28861898,0
ZCoin,Lyra2Z,PoW,21400000.0,7568281.24956067,1
CoffeeCoin,PoS,PoS,39999898.0,148716816.0,0
RoyalCoin,X13,PoS,2500124.0,2500124.0,0
GanjaCoin V2,X14,PoW/PoS,100000000.0,100000000.0,0
TeamUP,PoS,PoS,301000000.0,17818682.1654,0
LanaCoin,SHA-256D,PoW/PoS,7506000000.0,1082162635.5368302,0
Elementrem,Ethash,PoW,26205539.0,26205539.0,1
ZClassic,Equihash,PoW,21000000.0,5613550.0,1
ARK,DPoS,DPoS,125000000.0,108202084.0,0
InsaneCoin,X11,PoW/PoS,30000000.0,18342813.0,0
KiloCoin,Scrypt,PoW,10000000000.0,196297971.0,1
ArtexCoin,X11,PoW,500000000.0,824000000.0,1
EmberCoin,X13,PoW/PoS,850000000.0,92192822723.0,0
XenixCoin,X11,PoW/PoS,3853326.77707314,3853326.77707314,0
FreeCoin,PoS,PoS,50000000.0,50000000.0,0
PLNCoin,Scrypt,PoW/PoS,38540000.0,17089600.0,0
AquariusCoin,Scrypt,PoW/PoS,42000000.0,2449577.41533168,0
Kurrent,X11,PoW,228000000.0,61364813.0,1
Creatio,PoS,PoS,20000000.0,20000000.0,0
Eternity,X11,PoW/PoS,60000000.0,6069482.07721352,0
Eurocoin,SHA-256,PoW/PoS,20000000.0,12416554.0,0
BitcoinFast,Scrypt,PoW/PoS,33000000.0,20244023.640728,0
Stakenet,X11,TPoS,76500000.0,75590369.0,0
BitConnect Coin,Scrypt,PoW/PoS,28000000.0,11080722.3769581,0
MoneyCoin,Scrypt,PoW/PoS,650659833.0,10914418.0,0
Enigma,X11,PoW/PoS,5000000.0,814671.0,0
Cannabis Industry Coin,CryptoNight,PoW,21000000.0,978145.0,1
Russiacoin,Scrypt,PoW/PoS,144000000.0,8377873.0,0
PandaCoin,Scrypt,PoS,32514916898.0,33813143821.8337,0
GameUnits,Scrypt,PoW/PoS,13000000.0,3472983.0,0
GAKHcoin,Scrypt,PoW/PoS,3315789.0,3315789.0,0
Allsafe,Quark,PoS,15000000.0,10517772.7391666,0
LiteCreed,QuBit,PoW/PoS,78835200.0,30227750.0,0
OsmiumCoin,Scrypt,PoW,2714286.0,894026.0,1
Bikercoins,CryptoNight,PoW,25000000.0,9357088.0,1
HexxCoin,Lyra2RE,PoW,9999999.0,1876146.4435959999,1
Klingon Empire Darsek,Scrypt,PoW/PoS,500000000.0,23965372.0,0
Internet of People,SHA-256,PoW/PoS,21000000.0,2526078.47525448,0
KushCoin,X11,PoW/PoS,9354000.0,5659096.95728771,0
Printerium,Scrypt,PoW/PoS,20000000.0,11821728.0,0
PacCoin,X11,PoW,100000000000.0,536982074.0,1
Impeach,Scrypt,PoW/PoS,21933333.0,308179.0,0
Citadel,CryptoNight-V7,PoW,185000000.0,10969318.522954,1
Zilbercoin,Scrypt,PoS,55000000.0,2922613.96424908,0
FirstCoin,Scrypt,PoW/PoS ,110000000.0,110000000.0,0
BeaverCoin,Scrypt,PoW,3360000.0,3115258.0,1
FindCoin,X13,PoS,14524851.4827,14524851.4827,0
VaultCoin,X11,PoW,1000000000.0,30385540.0,1
Zero,Equihash,PoW,17000000.0,6921653.89980891,1
OpenChat,Scrypt,PoW/PoS,1000000000.0,1000000000.0,0
Canada eCoin,Scrypt,PoW,100000000.0,99843408.3158479,1
Zoin,Lyra2RE,PoW,21000000.0,18545757.5,1
RenosCoin,Scrypt,PoS,34426423.0,36050365.0,0
DubaiCoin,Dagger-Hashimoto,PoW,2232901.0,2232901.0,1
VirtacoinPlus,X11,PoW/PoS,100000000.0,13162749.085802699,0
TajCoin,Blake2S,PoW/PoS,36900000.0,12184195.9258495,0
Impact,X11,PoW/PoS,110000000.0,110630387.85047099,0
EB3coin,Scrypt,PoW,4000000000.0,64096052.0,1
Atmos,PoS,PoS,110290030.0,111135836.889,0
HappyCoin,X11,PoW/PoS,100000000.0,21521322.0099142,0
Coinonat,NIST5,PoW,48252000.0,10123200.0,1
MacronCoin,PoS,PoS,400000000.0,401421401.0,0
Condensate,X11,PoW/PoS,500000000.0,121665451.643876,0
